departmentId,city,region,department,road
5011000014141,上海,普陀,中远两湾城,"(普陀中远两湾城)远景路97弄、中潭路100弄（四期）, 远景路97弄，中潭路100弄，中潭路99弄（一期）, 中潭路99弄79-159号，中潭路100弄78-156号（二期）, 中潭路33弄07～15号，中潭路99弄189~241号，中潭路91弄01~59号（三期）, 中潭路100弄82、120号, 中潭路100弄254~306号, 中潭路99弄87、125、143、163号, 中潭路100弄222、254、302、304、306号"
5011000016384,上海,静安,慧芝湖花园,"(静安大宁)平型关路1083弄（一、二期）, 平型关路1088弄（三期）, 平型关路1018号, 平型关路1083弄12号、14号, 平型关路1083弄3号"
5011000015174,上海,松江,奥林匹克花园,"(松江九亭)涞亭北路99弄, 涞寅路106弄, 沪松公路1118-1186号, 涞寅路106弄1-131号"
5011000009660,上海,嘉定,新城金郡,"(嘉定嘉定新城)临泽路88弄, 临泽路89弄, 临泽路188弄, 云屏路1399弄, 临泽路189弄, 崇信路1518弄, 白银路1565号, 白银路1563号, 云屏路1520弄, 白银路1310弄, 白银路1147号, 白银路1298号, 云屏路1399弄1-33号"
5011000017872,上海,浦东,世茂滨江花园,"(浦东陆家嘴)潍坊西路1弄,潍坊西路2弄"
5011063203505,上海,徐汇,尚海湾豪庭,"(徐汇徐汇滨江)凯滨路18弄, 凯滨路19弄, 东安路888弄"
5011000017107,上海,普陀,阳光威尼斯(三期),(普陀真光)靖边路199弄
5011000017671,上海,浦东,东方城市花园(二期),(浦东南码头)东方路1881弄
5011000001561,上海,青浦,崧泽华城佳福雅苑（六区）,(青浦赵巷)秀泽路225弄
5011000015945,上海,浦东,环球翡翠湾花园(公寓),(浦东三林)西泰林路158弄
5011000014035,上海,浦东,锦绣华都,(浦东御桥)御衡路68弄
5011102207057,上海,闵行,上海康城,(闵行莘庄)莘松路958弄（大浪湾道01-61号、山林道04-96号、江山道01-23号、瀑布湾道21-96号、维园道01-45号、康城道51-82）
5011000014388,上海,浦东,绿川新苑,"(浦东北蔡)绿林路50弄,绿林路51弄,绿林路52弄,绿林路320弄"
5011000015069,上海,浦东,潍坊九村,"(浦东潍坊)崂山路644弄, 崂山路638弄, 浦电路330弄, 崂山路646号"
5011000018140,上海,静安,中凯城市之光(静安),"(静安南京西路)威海路333弄,大沽路368弄（回搬房）,大沽路398弄"
5011000017605,上海,闵行,万科假日风景(公寓),"(闵行莘庄)畹町路99弄, 畹町路100弄, 畹町路121号, 畹町路114号, 畹町路116号"
5011000013450,上海,杨浦,鞍山六村,(杨浦鞍山)鞍山六村
5011000012222,上海,浦东,城中花园,(浦东康桥)秀沿路1028弄2支弄
5011000015365,上海,宝山,文华苑(宝山),"(宝山大华)大华路901弄（一期）,华灵路1210弄（二、三期）,华灵路1280弄（二、三期）,华灵路1180弄（四期）,新沪路1099弄（五期）"
5011000009869,上海,嘉定,澜茵华庭,(嘉定江桥)金园一路1518弄，金园一路1519弄
5011000013930,上海,浦东,潍坊十村,"(浦东潍坊)崂山东路645弄, 潍坊路154弄, 潍坊路140弄, 潍坊路126弄, 潍坊路120号, 潍坊路122号, 潍坊路128号, 潍坊路130号, 潍坊路132号, 潍坊路134号, 潍坊路136号, 潍坊路142号, 潍坊路144号, 潍坊路148号, 潍坊路150号, 潍坊路152号, 潍坊路156号, 潍坊路146号, 潍坊路138号, 潍坊路158号"
5011000014093,上海,松江,九城湖滨国际,(松江九亭)沪亭北路618弄
5011000018313,上海,闵行,万科城市花园,"(闵行七宝)七莘路3333弄2区-15区, 七莘路3333弄3区11-14号"
5011000015678,上海,浦东,竹园新村(浦东),"(浦东源深)潍坊路238弄, 潍坊路252弄, 潍坊路260号, 潍坊路335弄1-3支弄, 潍坊路355弄, 潍坊路375弄, 源深路600弄1-3支弄, 潍坊路262号, 潍坊路246号"
509099290096520,上海,虹口,同鸣路157号,(虹口鲁迅公园)同鸣路157号
5011000014874,上海,宝山,万科琥珀郡园,(宝山罗店)美艾路177弄
5011000013546,上海,浦东,绿洲康城亲水湾(中央区),(浦东御桥)康桥路1558弄
5011000014004,上海,闵行,银河新都,"(闵行春申)绿莲路99弄,绿莲路100弄,老沪闵路2259弄"
5011000013940,上海,杨浦,鞍山四村第一小区,"(杨浦鞍山)抚顺路373弄, 抚顺路393弄, 鞍山四村1-30号"
5011102207146,上海,松江,新凯二期,"(松江泗泾)新家园路128弄, 新家园路30弄，新家园路88弄"
5011000012986,上海,浦东,竹园高层,"(浦东源深)张杨路1050弄, 张杨路1318号, 张杨路1308号, 张杨路1338号, 张杨路1348号, 福山路309号, 张杨路1328号"
5011000010579,上海,普陀,大华颐和华城(公寓),"(普陀万里)武威东路477弄,武威东路478弄,武威东路479弄,真金路577弄"
5011000017281,上海,浦东,新领地,(浦东花木)杜鹃路188弄
5011000011738,上海,闵行,蔷薇新村,"(闵行春申)老沪闵路1351弄, 春申路1581弄"
5020029861847740,上海,松江,新凯一期,(松江泗泾)古楼公路1858弄
5011000018329,上海,长宁,凯欣豪园,(长宁中山公园)汇川路88弄
5011000009663,上海,嘉定,中信泰富又一城,"(嘉定嘉定新城)云屏路388弄,云屏路518弄,云谷路599弄"
5011000008858,上海,浦东,中海御景熙岸(公寓),(浦东三林)秀沿西路258弄
5011000018309,上海,浦东,万邦都市花园,(浦东北蔡)龙阳路1880弄
5011000012108,上海,青浦,新城盛景园,"(青浦夏阳)崧文路399弄,崧文路299弄,崧文路288弄,崧文路388弄"
5011000004375,上海,松江,上海源花城,(松江九亭)涞寅路1200弄
5011000018025,上海,黄浦,耀江花园,(黄浦世博滨江)西藏南路1739弄
5011000016667,上海,黄浦,建德坊,(黄浦新天地)建国东路328弄1-22号
